Ranking,Institution,Faculty Count,Average Citations,Country,Continent
313,University of Nottingham,47,4623.09,UK,Europe
314,Clemson University,42,4606.54,USA,North America
315,CISPA Helmholtz Center,31,4598.93,Germany,Europe
316,IIT (BHU) Varanasi,13,4594.6,India,Asia
317,Polytechnique Montreal,7,4590.67,Canada,North America
318,NTUA,41,4590.64,Greece,Europe
319,Sapienza University of Rome,88,4584.73,Italy,Europe
320,University of Bristol,47,4583.12,UK,Europe
321,Georgia State University,22,4563.76,USA,North America
322,Florida Atlantic University,28,4535.11,USA,North America
323,National Chiao Tung University,68,4533.28,Taiwan,Asia
324,UFMG,60,4517.77,Brazil,South America
325,Kyung Hee University,6,4506.17,South Korea,Asia
326,KTH Royal Institute of Technology,75,4498.37,Sweden,Europe
327,Wayne State University,22,4487.25,USA,North America
328,University of Copenhagen,68,4479.14,Denmark,Europe
329,University of Magdeburg,21,4474.35,Germany,Europe
330,University of Kiel,17,4473.33,Germany,Europe
331,University of Klagenfurt,32,4464.72,Austria,Europe
332,Macquarie University,30,4447.17,Australia,Australia
333,IIT Patna,14,4421.21,India,Asia
334,University of Liverpool,76,4405.64,UK,Europe
335,Florida Institute of Technology,13,4394.0,USA,North America
336,Uppsala University,75,4385.05,Sweden,Europe
337,University of Cincinnati,20,4379.31,USA,North America
338,Auburn University,17,4318.69,USA,North America
339,Nanjing University,103,4300.56,China,Asia
340,Virginia Commonwealth University,18,4297.5,USA,North America
341,Iowa State University,36,4296.58,USA,North America
342,University of L'Aquila,9,4264.44,Italy,Europe
343,UESTC,130,4255.11,China,Asia
344,University of Münster,23,4240.94,Germany,Europe
345,University of Leeds,35,4237.77,UK,Europe
346,University of Michigan-Dearborn,12,4222.6,USA,North America
347,University of Trier,9,4215.4,Germany,Europe
348,University of Victoria,29,4202.36,Canada,North America
349,Universidade de Lisboa,160,4189.56,Portugal,Europe
350,University of Mainz,9,4189.0,Germany,Europe
351,University of Georgia,25,4142.7,USA,North America
352,Xidian University,61,4137.5,China,Asia
353,University of Lübeck,27,4130.23,Germany,Europe
354,Universidad de Chile,15,4113.18,Chile,South America
355,Polytechnic University of Catalonia,61,4112.67,Spain,Europe
356,University of Birmingham,46,4098.85,UK,Europe
357,Aarhus University,42,4055.1,Denmark,Europe
358,Dalhousie University,39,4043.72,Canada,North America
359,Tokyo Institute of Technology,59,4043.67,Japan,Asia
360,University of Kentucky,29,4000.8,USA,North America
361,University of Sheffield,53,3997.77,UK,Europe
362,University of New Hampshire,11,3988.67,USA,North America
363,Birkbeck University of London,29,3988.43,UK,Europe
364,IISc Bangalore,39,3984.28,India,Asia
365,Waseda University,14,3970.0,Japan,Asia
366,University of Molise,7,3965.5,Italy,Europe
367,Koç University,10,3963.75,Turkey,Asia
