Ranking,Institution,Faculty Count,Total h-index,Country,Continent
141,University of Birmingham,46,1250.0,UK,Europe
142,Rice University,33,1245.0,USA,North America
143,Lancaster University,47,1240.0,UK,Europe
144,RWTH Aachen,34,1227.0,Germany,Europe
145,Saarland University,34,1223.0,Germany,Europe
146,University of Notre Dame,33,1220.0,USA,North America
147,King's College London,51,1211.0,UK,Europe
148,University of Stuttgart,35,1197.0,Germany,Europe
149,Utrecht University,47,1191.0,Netherlands,Europe
150,University of Kansas,41,1180.0,USA,North America
151,Chalmers/GU,102,1161.0,Sweden,Europe
152,Ecole Normale Superieure de Lyon,87,1161.0,France,Europe
153,UFRGS,63,1161.0,Brazil,South America
154,Karlsruhe Institute of Technology,34,1158.0,Germany,Europe
155,University College Dublin,52,1157.0,Ireland,Europe
156,University of Pisa,64,1155.0,Italy,Europe
157,CWI,32,1151.0,Netherlands,Europe
158,RMIT University,55,1145.0,Australia,Australia
159,University of Glasgow,41,1143.0,UK,Europe
160,Washington University in St. Louis,30,1136.0,USA,North America
161,Cardiff University,58,1130.0,UK,Europe
162,Tampere University,41,1129.0,Finland,Europe
163,Università della Svizzera italiana,30,1111.0,Switzerland,Europe
164,Washington State University,53,1111.0,USA,North America
165,University of Calgary,45,1110.0,Canada,North America
166,University of Auckland,45,1107.0,New Zealand,Australia
167,University of Texas at Arlington,36,1100.0,USA,North America
168,NTUA,41,1098.0,Greece,Europe
169,BUPT,83,1095.0,China,Asia
170,LMU Munich,30,1094.0,Germany,Europe
171,TU Darmstadt,31,1079.0,Germany,Europe
172,University of Adelaide,34,1074.0,Australia,Australia
173,University of Warsaw,62,1074.0,Poland,Europe
174,Worcester Polytechnic Institute,46,1065.0,USA,North America
175,Aarhus University,42,1063.0,Denmark,Europe
176,University of Florida,47,1056.0,USA,North America
177,University of A Coruña,81,1041.0,Spain,Europe
178,University of Tsukuba,66,1031.0,Japan,Asia
179,Aalborg University,43,1030.0,Denmark,Europe
180,National Chiao Tung University,68,1029.0,Taiwan,Asia
181,USP-ICMC,49,1027.0,Brazil,South America
182,Univ. of Maryland - Baltimore County,34,1021.0,USA,North America
183,University of Bristol,47,1004.0,UK,Europe
184,SUSTech,47,999.0,China,Asia
185,Brunel University London,36,991.0,UK,Europe
186,Queen’s University,31,991.0,Canada,North America
187,University of Piraeus,46,986.0,Greece,Europe
188,Tokyo Institute of Technology,59,977.0,Japan,Asia
189,University of Helsinki,29,975.0,Finland,Europe
190,Queen's University Belfast,54,974.0,UK,Europe
191,Ecole Normale Superieure,32,974.0,France,Europe
192,IST Austria,47,973.0,Austria,Europe
193,KAUST,22,973.0,Saudi Arabia,Asia
194,University of Houston,31,970.0,USA,North America
195,York University,43,966.0,Canada,North America
196,JKU Linz,35,964.0,Austria,Europe
197,IIIT Hyderabad,50,961.0,India,Asia
198,UNICAMP,43,956.0,Brazil,South America
199,IIT Kharagpur,44,956.0,India,Asia
200,University of Hong Kong,33,950.0,Hong Kong,Asia
201,Clemson University,42,944.0,USA,North America
202,University of Klagenfurt,32,940.0,Austria,Europe
203,University of Connecticut,33,937.0,USA,North America
204,University of Amsterdam,26,933.0,Netherlands,Europe
205,McGill University,31,926.0,Canada,North America
206,EURECOM,26,925.0,France,Europe
207,National Taiwan University,44,920.0,Taiwan,Asia
208,California Institute of Technology,18,918.0,USA,North America
209,Shenzhen University,51,915.0,China,Asia
210,Kyoto University,48,911.0,Japan,Asia
211,University of Rochester,25,904.0,USA,North America
212,University of Freiburg,17,902.0,Germany,Europe
213,Macquarie University,30,902.0,Australia,Australia
214,Czech Technical University,27,889.0,Czech Republic,Europe
215,University of Waikato,29,889.0,New Zealand,Australia
216,University of Surrey,27,887.0,UK,Europe
217,Bar-Ilan University,27,885.0,Israel,Asia
218,City University of London,39,880.0,UK,Europe
219,The Hong Kong Polytechnic University,17,870.0,Hong Kong,Asia
220,USTC,30,868.0,China,Asia
221,Iowa State University,36,867.0,USA,North America
222,NJIT,37,862.0,USA,North America
223,Dalhousie University,39,842.0,Canada,North America
224,POSTECH,34,837.0,South Korea,Asia
225,CISPA Helmholtz Center,31,831.0,Germany,Europe
226,University of Leeds,35,831.0,UK,Europe
227,IISc Bangalore,39,815.0,India,Asia
228,IIT Bombay,41,805.0,India,Asia
229,Osaka University,32,804.0,Japan,Asia
230,University of Victoria,29,801.0,Canada,North America
231,University of Crete,25,800.0,Greece,Europe
232,MBZUAI,22,797.0,UAE,Asia
233,University of Arizona,26,795.0,USA,North America
234,Masaryk University,42,790.0,Czech Republic,Europe
235,University of South Carolina,33,787.0,USA,North America
236,NTNU,37,781.0,Norway,Europe
237,University of Massachusetts Lowell,38,770.0,USA,North America
238,University of Erlangen–Nuremberg,30,768.0,Germany,Europe
239,Concordia University,45,759.0,Canada,North America
240,University of South Florida,22,747.0,USA,North America
241,University of Bremen,20,746.0,Germany,Europe
242,Dartmouth College,26,744.0,USA,North America
243,AUEB,29,743.0,Greece,Europe
244,University of Delaware,31,742.0,USA,North America
245,Temple University,21,742.0,USA,North America
246,Heriot-Watt University,43,740.0,UK,Europe
247,Rensselaer Polytechnic Institute,27,739.0,USA,North America
248,University of Nebraska,28,737.0,USA,North America
249,University of Athens,37,735.0,Greece,Europe
250,Hunan University,53,733.0,China,Asia
251,University of Tartu,39,730.0,Estonia,Europe
252,Western University,22,726.0,Canada,North America
253,IIT Kanpur,34,702.0,India,Asia
254,Carleton University,33,695.0,Canada,North America
255,TU Kaiserslautern,27,693.0,Germany,Europe
256,Ruhr-University Bochum,21,686.0,Germany,Europe
257,Renmin University of China,50,684.0,China,Asia
258,University of Manitoba,31,684.0,Canada,North America
259,Florida State University,27,679.0,USA,North America
260,University of Bath,30,677.0,UK,Europe
261,Univ. of California - Merced,22,675.0,USA,North America
262,University of Murcia,34,672.0,Spain,Europe
263,Northern Arizona University,29,672.0,USA,North America
264,IIIT Delhi,39,671.0,India,Asia
265,Soochow University,41,658.0,China,Asia
266,Hasso Plattner Institute,18,658.0,Germany,Europe
267,NWPU,20,657.0,China,Asia
