Ranking,Institution,Total h-index,Country,Continent
119,Michigan State University,1403.0,USA,North America
120,University of Manchester,1402.0,UK,Europe
121,UFMG,1399.0,Brazil,South America
122,Ohio State University,1386.0,USA,North America
123,Boston University,1381.0,USA,North America
124,City University of Hong Kong,1362.0,Hong Kong,Asia
125,University of Ottawa,1361.0,Canada,North America
126,University of Illinois at Chicago,1361.0,USA,North America
127,University of Tübingen,1352.0,Germany,Europe
128,University of Nottingham,1349.0,UK,Europe
129,Brown University,1341.0,USA,North America
130,University of Technology Sydney,1338.0,Australia,Australia
131,Arizona State University,1334.0,USA,North America
132,Yale University,1332.0,USA,North America
133,Queen Mary University of London,1322.0,UK,Europe
134,Victoria University of Wellington,1313.0,New Zealand,Australia
135,Aalto University,1311.0,Finland,Europe
136,University of Virginia,1307.0,USA,North America
137,University of Warwick,1305.0,UK,Europe
138,Fudan University,1297.0,China,Asia
139,Singapore Management University,1266.0,Singapore,Asia
140,Polytechnic University of Catalonia,1252.0,Spain,Europe
141,University of Birmingham,1250.0,UK,Europe
142,Rice University,1245.0,USA,North America
143,Lancaster University,1240.0,UK,Europe
144,RWTH Aachen,1227.0,Germany,Europe
145,Saarland University,1223.0,Germany,Europe
146,University of Notre Dame,1220.0,USA,North America
147,King's College London,1211.0,UK,Europe
148,University of Stuttgart,1197.0,Germany,Europe
149,Utrecht University,1191.0,Netherlands,Europe
150,University of Kansas,1180.0,USA,North America
151,Chalmers/GU,1161.0,Sweden,Europe
152,Ecole Normale Superieure de Lyon,1161.0,France,Europe
153,UFRGS,1161.0,Brazil,South America
154,Karlsruhe Institute of Technology,1158.0,Germany,Europe
155,University College Dublin,1157.0,Ireland,Europe
156,University of Pisa,1155.0,Italy,Europe
157,CWI,1151.0,Netherlands,Europe
158,RMIT University,1145.0,Australia,Australia
159,University of Glasgow,1143.0,UK,Europe
160,Washington University in St. Louis,1136.0,USA,North America
161,Cardiff University,1130.0,UK,Europe
162,Tampere University,1129.0,Finland,Europe
163,Università della Svizzera italiana,1111.0,Switzerland,Europe
164,Washington State University,1111.0,USA,North America
165,University of Calgary,1110.0,Canada,North America
166,University of Auckland,1107.0,New Zealand,Australia
167,University of Texas at Arlington,1100.0,USA,North America
168,NTUA,1098.0,Greece,Europe
169,BUPT,1095.0,China,Asia
170,LMU Munich,1094.0,Germany,Europe
171,TU Darmstadt,1079.0,Germany,Europe
172,University of Adelaide,1074.0,Australia,Australia
173,University of Warsaw,1074.0,Poland,Europe
174,Worcester Polytechnic Institute,1065.0,USA,North America
175,Aarhus University,1063.0,Denmark,Europe
176,University of Florida,1056.0,USA,North America
177,University of A Coruña,1041.0,Spain,Europe
178,University of Tsukuba,1031.0,Japan,Asia
179,Aalborg University,1030.0,Denmark,Europe
180,National Chiao Tung University,1029.0,Taiwan,Asia
181,USP-ICMC,1027.0,Brazil,South America
182,Univ. of Maryland - Baltimore County,1021.0,USA,North America
183,University of Bristol,1004.0,UK,Europe
184,SUSTech,999.0,China,Asia
185,Brunel University London,991.0,UK,Europe
186,Queen’s University,991.0,Canada,North America
187,University of Piraeus,986.0,Greece,Europe
188,Tokyo Institute of Technology,977.0,Japan,Asia
189,University of Helsinki,975.0,Finland,Europe
190,Queen's University Belfast,974.0,UK,Europe
191,Ecole Normale Superieure,974.0,France,Europe
192,IST Austria,973.0,Austria,Europe
193,KAUST,973.0,Saudi Arabia,Asia
194,University of Houston,970.0,USA,North America
195,York University,966.0,Canada,North America
196,JKU Linz,964.0,Austria,Europe
197,IIIT Hyderabad,961.0,India,Asia
198,UNICAMP,956.0,Brazil,South America
199,IIT Kharagpur,956.0,India,Asia
200,University of Hong Kong,950.0,Hong Kong,Asia
201,Clemson University,944.0,USA,North America
202,University of Klagenfurt,940.0,Austria,Europe
203,University of Connecticut,937.0,USA,North America
204,University of Amsterdam,933.0,Netherlands,Europe
205,McGill University,926.0,Canada,North America
206,EURECOM,925.0,France,Europe
207,National Taiwan University,920.0,Taiwan,Asia
208,California Institute of Technology,918.0,USA,North America
209,Shenzhen University,915.0,China,Asia
210,Kyoto University,911.0,Japan,Asia
211,University of Rochester,904.0,USA,North America
212,University of Freiburg,902.0,Germany,Europe
213,Macquarie University,902.0,Australia,Australia
214,Czech Technical University,889.0,Czech Republic,Europe
215,University of Waikato,889.0,New Zealand,Australia
216,University of Surrey,887.0,UK,Europe
217,Bar-Ilan University,885.0,Israel,Asia
218,City University of London,880.0,UK,Europe
219,The Hong Kong Polytechnic University,870.0,Hong Kong,Asia
220,USTC,868.0,China,Asia
221,Iowa State University,867.0,USA,North America
222,NJIT,862.0,USA,North America
223,Dalhousie University,842.0,Canada,North America
224,POSTECH,837.0,South Korea,Asia
225,CISPA Helmholtz Center,831.0,Germany,Europe
226,University of Leeds,831.0,UK,Europe
227,IISc Bangalore,815.0,India,Asia
228,IIT Bombay,805.0,India,Asia
229,Osaka University,804.0,Japan,Asia
230,University of Victoria,801.0,Canada,North America
231,University of Crete,800.0,Greece,Europe
232,MBZUAI,797.0,UAE,Asia
233,University of Arizona,795.0,USA,North America
234,Masaryk University,790.0,Czech Republic,Europe
235,University of South Carolina,787.0,USA,North America
236,NTNU,781.0,Norway,Europe
237,University of Massachusetts Lowell,770.0,USA,North America
238,University of Erlangen–Nuremberg,768.0,Germany,Europe
239,Concordia University,759.0,Canada,North America
240,University of South Florida,747.0,USA,North America
241,University of Bremen,746.0,Germany,Europe
242,Dartmouth College,744.0,USA,North America
243,AUEB,743.0,Greece,Europe
244,University of Delaware,742.0,USA,North America
245,Temple University,742.0,USA,North America
246,Heriot-Watt University,740.0,UK,Europe
247,Rensselaer Polytechnic Institute,739.0,USA,North America
248,University of Nebraska,737.0,USA,North America
249,University of Athens,735.0,Greece,Europe
250,Hunan University,733.0,China,Asia
251,University of Tartu,730.0,Estonia,Europe
252,Western University,726.0,Canada,North America
253,IIT Kanpur,702.0,India,Asia
254,Carleton University,695.0,Canada,North America
255,TU Kaiserslautern,693.0,Germany,Europe
256,Ruhr-University Bochum,686.0,Germany,Europe
257,Renmin University of China,684.0,China,Asia
258,University of Manitoba,684.0,Canada,North America
259,Florida State University,679.0,USA,North America
260,University of Bath,677.0,UK,Europe
261,Univ. of California - Merced,675.0,USA,North America
262,University of Murcia,672.0,Spain,Europe
263,Northern Arizona University,672.0,USA,North America
264,IIIT Delhi,671.0,India,Asia
265,Soochow University,658.0,China,Asia
266,Hasso Plattner Institute,658.0,Germany,Europe
267,NWPU,657.0,China,Asia
268,Ecole Normale Superieure de Cachan,652.0,France,Europe
269,UFF,652.0,Brazil,South America
270,Heidelberg University,650.0,Germany,Europe
271,University of Vienna,650.0,Austria,Europe
272,Binghamton University,650.0,USA,North America
273,SUTD,646.0,Singapore,Asia
274,Georgetown University,646.0,USA,North America
275,University of Hannover,641.0,Germany,Europe
276,Royal Holloway University of London,638.0,UK,Europe
277,Brigham Young University,637.0,USA,North America
278,Emory University,637.0,USA,North America
279,Kyungpook National University,629.0,South Korea,Asia
280,UFRJ,627.0,Brazil,South America
281,Florida International University,622.0,USA,North America
282,Open University UK,619.0,UK,Europe
283,Massey University,616.0,New Zealand,Australia
284,Birkbeck University of London,615.0,UK,Europe
285,Xi'an Jiaotong University,612.0,China,Asia
286,Colorado State University,611.0,USA,North America
287,TTI Chicago,610.0,USA,North America
288,University of Ioannina,610.0,Greece,Europe
289,University of Georgia,609.0,USA,North America
290,Georgia State University,607.0,USA,North America
291,USP,604.0,Brazil,South America
292,University of Bergen,597.0,Norway,Europe
293,University of Saskatchewan,591.0,Canada,North America
294,Sun Yat-sen University,591.0,China,Asia
295,UFPE,590.0,Brazil,South America
296,Sharif University of Technology,590.0,Iran,Asia
297,Syracuse University,588.0,USA,North America
298,Qatar University,587.0,Qatar,Asia
299,University of Hamburg,585.0,Germany,Europe
300,University of Zurich,584.0,Switzerland,Europe
301,Durham University,583.0,UK,Europe
302,University of Oregon,580.0,USA,North America
303,University of North Texas,579.0,USA,North America
